source_dataset,building,label_mode,tag,model,manipulation,level,normalized,true_label,pred_label,value
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Excessive infiltration,0.06810284920083391
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,No Overnight HVAC Setback,0.022237665045170257
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Normal,0.009034051424600417
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Delayed Onset,Thermostat measurement bias,0.9006254343293955
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Condenser Fouling,0.03263888888888889
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Excessive infiltration,0.07569444444444444
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,No Overnight HVAC Setback,0.1451388888888889
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Normal,0.015277777777777777
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Lighting Setback Error: Early Termination,Thermostat measurement bias,0.73125
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,No Overnight HVAC Setback,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,No Overnight HVAC Setback,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,No Overnight HVAC Setback,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,No Overnight HVAC Setback,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,No Overnight HVAC Setback,Lighting Setback Error: Delayed Onset,0.0
